Namespace(data_path=None, prior_path=None, constraint_path=None, data_dir='data', model_type='bowfree_ddeci_gaussian', model_dir=None, model_config='configs/ddeci/bowfree_ddeci_gaussian.json', dataset_config='configs/dataset_config_latent_confounded_causal_dataset.json', impute_config=None, objective_config=None, run_inference=False, extra_eval=False, max_steps=inf, max_al_rows=inf, active_learning=None, users_to_plot=[0], causal_discovery=False, latent_confounded_causal_discovery=True, treatment_effects=True, output_dir='runs', name=None, device='gpu', tiny=False, random_seed=None, default_configs_dir='configs', logger_level='INFO', eval_likelihood=True, conversion_type='full_time', enable_diagonal_eval=True, dataset_name='10_0')
2024-01-19 14:42:38,097 run_single_seed_experiment.py:122[INFO]Loading data.
2024-01-19 14:42:38,097 csv_dataset_loader.py:112[INFO]Using a predefined data split to load the dataset.
2024-01-19 14:42:38,107 dataset_loader.py:86[INFO]Variables info data/10_0/variables.json exists: False.
Minimum value of variable Column 0 inferred as -3.6520805953972744. This can be changed manually in the dataset's variables.json file
Max value of variable Column 0 inferred as 3.773052936093237. This can be changed manually in the dataset's variables.json file
Variable Column 0 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 0 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 0 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 1 inferred as -14.129690111990488. This can be changed manually in the dataset's variables.json file
Max value of variable Column 1 inferred as 12.471958614026603. This can be changed manually in the dataset's variables.json file
Variable Column 1 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 1 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 1 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 2 inferred as -6.42564111941364. This can be changed manually in the dataset's variables.json file
Max value of variable Column 2 inferred as 5.693090333598161. This can be changed manually in the dataset's variables.json file
Variable Column 2 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 2 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 2 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 3 inferred as -3.62317038413156. This can be changed manually in the dataset's variables.json file
Max value of variable Column 3 inferred as 3.3105557284043328. This can be changed manually in the dataset's variables.json file
Variable Column 3 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 3 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 3 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 4 inferred as -7.818681520373923. This can be changed manually in the dataset's variables.json file
Max value of variable Column 4 inferred as 7.097349070720104. This can be changed manually in the dataset's variables.json file
Variable Column 4 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 4 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 4 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 5 inferred as -7.338298571620853. This can be changed manually in the dataset's variables.json file
Max value of variable Column 5 inferred as 8.098049369242009. This can be changed manually in the dataset's variables.json file
Variable Column 5 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 5 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 5 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 6 inferred as -11.5212280679983. This can be changed manually in the dataset's variables.json file
Max value of variable Column 6 inferred as 11.714751712637312. This can be changed manually in the dataset's variables.json file
Variable Column 6 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 6 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 6 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 7 inferred as -3.651809927164398. This can be changed manually in the dataset's variables.json file
Max value of variable Column 7 inferred as 3.9525494825244216. This can be changed manually in the dataset's variables.json file
Variable Column 7 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 7 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 7 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 8 inferred as -3.165059445622078. This can be changed manually in the dataset's variables.json file
Max value of variable Column 8 inferred as 4.549135821453113. This can be changed manually in the dataset's variables.json file
Variable Column 8 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 8 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 8 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
Minimum value of variable Column 9 inferred as -4.872773932944406. This can be changed manually in the dataset's variables.json file
Max value of variable Column 9 inferred as 4.926907209131691. This can be changed manually in the dataset's variables.json file
Variable Column 9 inferred to be a queriable variable. This can be changed manually in the dataset's variables.json file by updating the "query" field.
Variable Column 9 inferred as not an active learning target variable. This can be changed manually in the dataset's variables.json file by updating the "target" field.
Variable Column 9 inferred as an always observed target variable. This can be changed manually in the dataset's variables.json file by updating the "always_observed" field.
2024-01-19 14:42:38,108 latent_confounded_causal_csv_dataset_loader.py:89[INFO]Create confounded causal dataset.
2024-01-19 14:42:38,108 latent_confounded_causal_csv_dataset_loader.py:114[INFO]Directed adjacency matrix found.
2024-01-19 14:42:38,109 latent_confounded_causal_csv_dataset_loader.py:128[INFO]Bidirected adjacency matrix found.
2024-01-19 14:42:38,109 causal_csv_dataset_loader.py:171[INFO]Intervention data not found.
2024-01-19 14:42:38,109 causal_csv_dataset_loader.py:171[INFO]Intervention data not found.
2024-01-19 14:42:38,109 train_step.py:25[INFO]Variable info: {'variables': [{'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 0', 'group_name': 'Column 0', 'lower': -3.6520805953972744, 'upper': 3.773052936093237, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 1', 'group_name': 'Column 1', 'lower': -14.129690111990488, 'upper': 12.471958614026603, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 2', 'group_name': 'Column 2', 'lower': -6.42564111941364, 'upper': 5.693090333598161, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 3', 'group_name': 'Column 3', 'lower': -3.62317038413156, 'upper': 3.3105557284043328, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 4', 'group_name': 'Column 4', 'lower': -7.818681520373923, 'upper': 7.097349070720104, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 5', 'group_name': 'Column 5', 'lower': -7.338298571620853, 'upper': 8.098049369242009, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 6', 'group_name': 'Column 6', 'lower': -11.5212280679983, 'upper': 11.714751712637312, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 7', 'group_name': 'Column 7', 'lower': -3.651809927164398, 'upper': 3.9525494825244216, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 8', 'group_name': 'Column 8', 'lower': -3.165059445622078, 'upper': 4.549135821453113, 'always_observed': True, 'is_latent': False}, {'query': True, 'target': False, 'type': 'continuous', 'name': 'Column 9', 'group_name': 'Column 9', 'lower': -4.872773932944406, 'upper': 4.926907209131691, 'always_observed': True, 'is_latent': False}], 'auxiliary_variables': [], 'used_cols': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}
2024-01-19 14:42:38,109 train_step.py:27[INFO]Creating new model
2024-01-19 14:42:38,622 torch_model.py:199[INFO]Model has 197740 trainable parameters.
2024-01-19 14:42:38,626 models_factory.py:101[INFO]No prior adj matrix is specified.
2024-01-19 14:42:38,626 models_factory.py:138[INFO]No constraint adj matrix is specified.
2024-01-19 14:42:38,627 train_step.py:41[INFO]Created model with ID c76eb0e4-2790-4ce2-b3a4-4dc1495d87dd.
2024-01-19 14:42:38,627 train_step.py:44[INFO]Training model.
Saving logs to runs/2024-01-19_144238/models/c76eb0e4-2790-4ce2-b3a4-4dc1495d87dd/train_output/summary
Auglag Step: 0
Beta Value: 0.2
LR: 0.001
Inner Step: 100, loss: 43.68, log p(x|A): -26.11, dag: 6.80192204, log p(A)_sp: -0.27, log q(A): -0.067, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0267, log_p_u: -51.4, log_p_u_weighed: -10.3, log_qu_x: 35.2, log_qu_x_weighed: 7.05
Inner Step: 200, loss: 24.62, log p(x|A): -16.52, dag: 8.23595675, log p(A)_sp: -0.29, log q(A): -0.068, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0402, log_p_u: -56, log_p_u_weighed: -11.2, log_qu_x: -16.8, log_qu_x_weighed: -3.36
Inner Step: 300, loss: 20.70, log p(x|A): -15.41, dag: 8.49311688, log p(A)_sp: -0.29, log q(A): -0.068, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0428, log_p_u: -59.2, log_p_u_weighed: -11.8, log_qu_x: -34, log_qu_x_weighed: -6.81
Inner Step: 400, loss: 17.95, log p(x|A): -14.56, dag: 8.37309265, log p(A)_sp: -0.30, log q(A): -0.067, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0418, log_p_u: -61.7, log_p_u_weighed: -12.3, log_qu_x: -46.1, log_qu_x_weighed: -9.22
Inner Step: 500, loss: 16.57, log p(x|A): -13.67, dag: 9.92344715, log p(A)_sp: -0.31, log q(A): -0.067, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0558, log_p_u: -63.1, log_p_u_weighed: -12.6, log_qu_x: -50.1, log_qu_x_weighed: -10
Inner Step: 600, loss: 16.00, log p(x|A): -13.07, dag: 10.09560992, log p(A)_sp: -0.31, log q(A): -0.066, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0594, log_p_u: -63.4, log_p_u_weighed: -12.7, log_qu_x: -50.3, log_qu_x_weighed: -10.1
Inner Step: 700, loss: 14.89, log p(x|A): -11.77, dag: 10.65154032, log p(A)_sp: -0.32, log q(A): -0.064, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0665, log_p_u: -63.8, log_p_u_weighed: -12.8, log_qu_x: -49.8, log_qu_x_weighed: -9.97
Inner Step: 800, loss: 14.46, log p(x|A): -11.22, dag: 10.07328110, log p(A)_sp: -0.31, log q(A): -0.063, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.059, log_p_u: -63.9, log_p_u_weighed: -12.8, log_qu_x: -49.2, log_qu_x_weighed: -9.84
Inner Step: 900, loss: 13.72, log p(x|A): -10.34, dag: 11.15896710, log p(A)_sp: -0.32, log q(A): -0.062, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0693, log_p_u: -63.9, log_p_u_weighed: -12.8, log_qu_x: -48.6, log_qu_x_weighed: -9.73
Inner Step: 1000, loss: 13.31, log p(x|A): -9.86, dag: 10.57320966, log p(A)_sp: -0.31, log q(A): -0.060, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0631, log_p_u: -64, log_p_u_weighed: -12.8, log_qu_x: -48.3, log_qu_x_weighed: -9.67
Inner Step: 1100, loss: 12.55, log p(x|A): -8.97, dag: 10.05363292, log p(A)_sp: -0.30, log q(A): -0.059, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.061, log_p_u: -64, log_p_u_weighed: -12.8, log_qu_x: -47.7, log_qu_x_weighed: -9.54
Inner Step: 1200, loss: 12.35, log p(x|A): -8.65, dag: 9.99617738, log p(A)_sp: -0.30, log q(A): -0.058, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0587, log_p_u: -64.1, log_p_u_weighed: -12.8, log_qu_x: -47.1, log_qu_x_weighed: -9.42
Inner Step: 1300, loss: 11.78, log p(x|A): -8.02, dag: 10.65128134, log p(A)_sp: -0.30, log q(A): -0.057, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0645, log_p_u: -64.2, log_p_u_weighed: -12.8, log_qu_x: -47, log_qu_x_weighed: -9.39
Inner Step: 1400, loss: 10.65, log p(x|A): -6.71, dag: 10.75759833, log p(A)_sp: -0.30, log q(A): -0.056, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0667, log_p_u: -64.3, log_p_u_weighed: -12.9, log_qu_x: -46.2, log_qu_x_weighed: -9.24
Inner Step: 1500, loss: 10.32, log p(x|A): -6.27, dag: 9.09268938, log p(A)_sp: -0.29, log q(A): -0.055, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.048, log_p_u: -64.4, log_p_u_weighed: -12.9, log_qu_x: -45.5, log_qu_x_weighed: -9.1
Inner Step: 1600, loss: 10.36, log p(x|A): -6.18, dag: 10.10415524, log p(A)_sp: -0.30, log q(A): -0.054, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0589, log_p_u: -64.6, log_p_u_weighed: -12.9, log_qu_x: -45.2, log_qu_x_weighed: -9.04
Inner Step: 1700, loss: 9.95, log p(x|A): -5.76, dag: 10.02657764, log p(A)_sp: -0.29, log q(A): -0.053, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0617, log_p_u: -64.8, log_p_u_weighed: -13, log_qu_x: -45.4, log_qu_x_weighed: -9.07
Inner Step: 1800, loss: 9.45, log p(x|A): -5.18, dag: 9.16095643, log p(A)_sp: -0.28, log q(A): -0.052, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0482, log_p_u: -64.6, log_p_u_weighed: -12.9, log_qu_x: -44.6, log_qu_x_weighed: -8.92
Inner Step: 1900, loss: 9.19, log p(x|A): -4.68, dag: 10.23728491, log p(A)_sp: -0.29, log q(A): -0.051, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0599, log_p_u: -64.7, log_p_u_weighed: -12.9, log_qu_x: -43.6, log_qu_x_weighed: -8.72
Inner Step: 2000, loss: 8.56, log p(x|A): -4.00, dag: 8.90701630, log p(A)_sp: -0.28, log q(A): -0.051, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0458, log_p_u: -64.4, log_p_u_weighed: -12.9, log_qu_x: -43, log_qu_x_weighed: -8.59
Inner Step: 2100, loss: 8.58, log p(x|A): -3.89, dag: 9.41380643, log p(A)_sp: -0.28, log q(A): -0.050, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0523, log_p_u: -64.7, log_p_u_weighed: -12.9, log_qu_x: -42.7, log_qu_x_weighed: -8.53
Inner Step: 2200, loss: 8.20, log p(x|A): -3.51, dag: 9.15053536, log p(A)_sp: -0.28, log q(A): -0.049, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0468, log_p_u: -65.1, log_p_u_weighed: -13, log_qu_x: -43, log_qu_x_weighed: -8.6
Inner Step: 2300, loss: 7.81, log p(x|A): -3.07, dag: 9.41620345, log p(A)_sp: -0.27, log q(A): -0.049, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0502, log_p_u: -64.5, log_p_u_weighed: -12.9, log_qu_x: -42.2, log_qu_x_weighed: -8.44
Inner Step: 2400, loss: 6.72, log p(x|A): -1.90, dag: 8.50005903, log p(A)_sp: -0.27, log q(A): -0.048, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0417, log_p_u: -64.5, log_p_u_weighed: -12.9, log_qu_x: -41.7, log_qu_x_weighed: -8.34
Inner Step: 2500, loss: 7.09, log p(x|A): -2.13, dag: 8.77371354, log p(A)_sp: -0.27, log q(A): -0.047, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0446, log_p_u: -64.5, log_p_u_weighed: -12.9, log_qu_x: -41, log_qu_x_weighed: -8.2
Inner Step: 2600, loss: 6.22, log p(x|A): -1.09, dag: 8.99795161, log p(A)_sp: -0.27, log q(A): -0.047, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0483, log_p_u: -64.5, log_p_u_weighed: -12.9, log_qu_x: -40.3, log_qu_x_weighed: -8.05
Inner Step: 2700, loss: 6.40, log p(x|A): -1.19, dag: 8.58686405, log p(A)_sp: -0.27, log q(A): -0.046, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0429, log_p_u: -64.7, log_p_u_weighed: -12.9, log_qu_x: -39.9, log_qu_x_weighed: -7.99
Inner Step: 2800, loss: 7.10, log p(x|A): -1.84, dag: 8.39103506, log p(A)_sp: -0.26, log q(A): -0.046, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0402, log_p_u: -64.9, log_p_u_weighed: -13, log_qu_x: -39.9, log_qu_x_weighed: -7.98
Inner Step: 2900, loss: 4.94, log p(x|A): 0.27, dag: 8.22164174, log p(A)_sp: -0.26, log q(A): -0.045, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0379, log_p_u: -64.8, log_p_u_weighed: -13, log_qu_x: -40.1, log_qu_x_weighed: -8.01
Inner Step: 3000, loss: 6.01, log p(x|A): -0.81, dag: 7.69197219, log p(A)_sp: -0.26, log q(A): -0.045, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0338, log_p_u: -64.7, log_p_u_weighed: -12.9, log_qu_x: -40, log_qu_x_weighed: -7.99
Inner Step: 3100, loss: 5.85, log p(x|A): -0.59, dag: 7.86999916, log p(A)_sp: -0.26, log q(A): -0.044, H filled: 0.000, rec: 0.000, penalty_dag_weighed: 0.0349, log_p_u: -64.8, log_p_u_weighed: -13, log_qu_x: -39.7, log_qu_x_weighed: -7.94
